date,stock_name,open,high,low,close,volume
2013-01-31 18:00:00,GS,118.9061,118.9141,118.9061,118.9141,200
2013-01-31 17:00:00,GS,118.8257,118.8257,118.8257,118.8257,144
2013-01-31 16:00:00,GS,118.8257,118.8257,118.5766,118.8257,435292
2013-01-31 15:00:00,GS,118.6891,118.88,118.3998,118.8257,776012
2013-01-31 14:00:00,GS,118.3757,118.9382,118.3516,118.698,465660
2013-01-31 13:00:00,GS,118.231,118.4239,118.1185,118.3757,258317
2013-01-31 12:00:00,GS,117.8533,118.2712,117.8373,118.223,189654
2013-01-31 11:00:00,GS,118.0221,118.1667,117.7408,117.8453,464401
2013-01-31 10:00:00,GS,118.0141,118.2391,117.5399,118.0181,599964
2013-01-31 09:00:00,GS,117.9337,118.3918,117.2747,118.0195,406838
2013-01-31 08:00:00,GS,118.0542,118.0542,117.8614,117.9337,10472
2013-01-31 07:00:00,GS,118.0944,118.0944,117.8935,117.9498,1000
2013-01-30 19:00:00,GS,118.1828,118.1828,118.1346,118.1828,1025
2013-01-30 18:00:00,GS,118.1266,118.1266,118.1266,118.1266,155
2013-01-30 17:00:00,GS,118.1105,118.1105,118.1105,118.1105,600
2013-01-30 16:00:00,GS,118.2551,118.2793,118.0542,118.2551,81146
2013-01-30 15:00:00,GS,118.3757,118.4561,117.998,118.2631,980390
2013-01-30 14:00:00,GS,118.3275,118.3918,118.1667,118.3917,764493
2013-01-30 13:00:00,GS,118.2873,118.3757,118.1748,118.3355,360417
2013-01-30 12:00:00,GS,118.1105,118.3355,118.0462,118.2913,447022
2013-01-30 11:00:00,GS,118.1587,118.4239,118.0631,118.1185,430941
2013-01-30 10:00:00,GS,118.1225,118.3034,117.8131,118.1748,392729
2013-01-30 09:00:00,GS,118.0382,118.4721,117.2586,118.1266,562880
2013-01-30 08:00:00,GS,118.1346,118.1587,117.7408,118.0141,2859
2013-01-29 19:00:00,GS,118.0462,118.2873,118.0462,118.2873,1893
2013-01-29 18:00:00,GS,118.2953,118.2953,118.2953,118.2953,100
2013-01-29 17:00:00,GS,118.1989,118.2712,118.1989,118.2712,1002
2013-01-29 16:00:00,GS,118.1346,118.2712,117.9819,118.215,144509
2013-01-29 15:00:00,GS,118.2391,118.2953,117.998,118.215,791667
2013-01-29 14:00:00,GS,118.5203,118.5364,118.1507,118.2471,438534
2013-01-29 13:00:00,GS,118.0904,118.5284,117.9981,118.5284,563945
2013-01-29 12:00:00,GS,117.6363,118.1266,117.6363,118.1104,470252
